City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
90,Venado Tuerto,AR,2021-12-15 18:47:16,-33.7456,-61.9688,88.47,22,0,9.57,clear sky
91,Pangnirtung,CA,2021-12-15 18:47:37,66.1451,-65.7125,-22.02,92,29,4.85,scattered clouds
92,Petalcingo,MX,2021-12-15 18:50:17,17.2833,-92.45,67.14,61,78,2.89,broken clouds
93,San Policarpo,PH,2021-12-15 18:50:18,12.1791,125.5072,80.46,88,100,19.13,overcast clouds
94,Tasiilaq,GL,2021-12-15 18:43:21,65.6145,-37.6368,28.56,76,100,3.83,overcast clouds
95,Moerai,PF,2021-12-15 18:50:19,-22.4333,-151.3333,78.53,78,97,14.94,overcast clouds
96,Butaritari,KI,2021-12-15 18:42:54,3.0707,172.7902,81.64,76,95,9.15,overcast clouds
97,Praia Da Vitoria,PT,2021-12-15 18:49:22,38.7333,-27.0667,60.76,94,75,14.72,broken clouds
98,Marsa Matruh,EG,2021-12-15 18:50:21,31.3525,27.2453,57.4,77,75,13.8,broken clouds
99,Khatanga,RU,2021-12-15 18:44:14,71.9667,102.5,-7.96,92,100,10.92,overcast clouds
100,Changde,CN,2021-12-15 18:50:23,29.0464,111.6783,50.76,88,100,5.99,overcast clouds
101,Arraial Do Cabo,BR,2021-12-15 18:41:12,-22.9661,-42.0278,82.36,78,75,16.11,broken clouds
102,Carnarvon,AU,2021-12-15 18:44:09,-24.8667,113.6333,69.87,78,90,16.11,overcast clouds
103,Ponta Do Sol,PT,2021-12-15 18:45:17,32.6667,-17.1,63.72,68,31,7.0,scattered clouds
104,Avarua,CK,2021-12-15 18:42:50,-21.2078,-159.775,80.65,83,40,12.66,scattered clouds
105,Aksu,CN,2021-12-15 18:45:01,41.1231,80.2644,24.58,49,0,3.4,clear sky
106,Silver City,US,2021-12-15 18:47:46,32.7701,-108.2803,49.96,65,1,18.99,clear sky
107,Talnakh,RU,2021-12-15 18:44:29,69.4865,88.3972,-13.9,100,100,0.22,overcast clouds
108,Kokopo,PG,2021-12-15 18:50:27,-4.352,152.2633,78.58,81,100,6.04,overcast clouds
109,Sao Jose Da Coroa Grande,BR,2021-12-15 18:42:27,-8.8978,-35.1478,81.97,71,46,10.87,scattered clouds
110,Bobo Dioulasso,BF,2021-12-15 18:50:29,11.1771,-4.2979,86.45,30,99,0.0,overcast clouds
