City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Townsville,AU,2021-12-15 18:25:38,-19.25,146.8,79.68,57,40,10.36
164,Carnarvon,AU,2021-12-15 18:25:39,-24.8667,113.6333,69.87,78,90,16.11
165,Ust-Omchug,RU,2021-12-15 18:25:40,61.15,149.6333,-14.69,98,100,5.35
166,Medea,DZ,2021-12-15 18:25:41,36.2642,2.7539,41.45,84,42,3.36
167,Krasnoselkup,RU,2021-12-15 18:25:41,65.7,82.4667,-12.12,100,92,5.39
168,Hasaki,JP,2021-12-15 18:25:42,35.7333,140.8333,34.2,58,0,6.91
169,East London,ZA,2021-12-15 18:25:42,-33.0153,27.9116,68.94,88,75,21.85
170,Victoria,HK,2021-12-15 18:22:28,22.2855,114.1577,72.32,90,100,5.99
171,Ponta Do Sol,PT,2021-12-15 18:25:43,32.6667,-17.1,64.71,69,2,6.6
172,Joao Pinheiro,BR,2021-12-15 18:25:44,-17.7425,-46.1725,73.63,79,100,5.1
173,Yar-Sale,RU,2021-12-15 18:25:45,66.8333,70.8333,-12.05,100,45,5.03
174,Coquimbo,CL,2021-12-15 18:25:45,-29.9533,-71.3436,66.96,67,1,8.14
175,Lavrentiya,RU,2021-12-15 18:25:46,65.5833,-171.0,-5.46,99,100,18.32
176,Dali,CN,2021-12-15 18:25:47,25.7,100.1833,42.24,70,1,4.83
177,Hithadhoo,MV,2021-12-15 18:25:47,-0.6,73.0833,82.26,70,31,1.92
178,Linhares,BR,2021-12-15 18:25:47,-19.3911,-40.0722,80.76,80,100,7.4
179,Manaskent,RU,2021-12-15 18:25:48,42.7275,47.6785,43.97,87,78,15.66
180,Baie-Comeau,CA,2021-12-15 18:25:48,49.2168,-68.1489,22.48,53,1,8.05
181,Morden,CA,2021-12-15 18:22:22,49.1919,-98.1014,28.22,93,100,8.05
182,San Cristobal,VE,2021-12-15 18:25:49,7.7669,-72.225,75.38,74,78,1.7
183,Roma,US,2021-12-15 18:25:50,43.2128,-75.4557,44.46,59,90,6.91
184,Antofagasta,CL,2021-12-15 18:25:50,-23.65,-70.4,71.22,56,10,9.84
185,Mount Vernon,US,2021-12-15 18:25:51,40.9126,-73.8371,55.71,59,75,4.0
186,Mar Del Plata,AR,2021-12-15 18:23:52,-38.0023,-57.5575,69.82,71,75,11.01
187,Gat,IL,2021-12-15 18:25:51,31.61,34.7642,57.4,57,0,3.71
188,Nakusp,CA,2021-12-15 18:25:53,50.2499,-117.8023,28.74,74,100,3.44
