City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Sao Felix Do Xingu,BR,87.51,light rain,-6.6447,-51.995,Rio Xingu Camping
244,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
245,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
247,Igbo Ora,NG,88.48,broken clouds,7.4333,3.2833,Pinkbell Inn
248,Vao,NC,75.24,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
250,Maroantsetra,MG,75.67,light rain,-15.4333,49.7333,Annexe Vatsy Hôtel
251,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
254,Kulhudhuffushi,MV,81.19,overcast clouds,6.6221,73.07,Haajy Guest House 1
256,Guasdualito,VE,86.0,scattered clouds,7.2424,-70.7324,Hotel Cuibas
257,Carira,BR,89.96,overcast clouds,-10.3608,-37.7011,Praca dos motorista
258,Lagos,NG,84.52,overcast clouds,6.5833,3.75,
259,Inhambane,MZ,82.38,scattered clouds,-23.865,35.3833,Oceano
263,Tauramena,CO,85.06,overcast clouds,5.0183,-72.7492,"Hotel Palmarito - Hotel en Tauramena, Casanare"
267,Koulikoro,ML,80.96,overcast clouds,14.0,-7.75,
273,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
276,Bonthe,SL,81.18,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
281,San Luis,AR,81.64,broken clouds,-33.295,-66.3356,Huarpes Hotel
282,Hithadhoo,MV,82.04,overcast clouds,-0.6,73.0833,Scoop Guest House
283,Tabou,CI,80.35,broken clouds,4.423,-7.3528,hotêl doufoulougou
291,Mapiri,BO,85.91,overcast clouds,-15.25,-68.1667,
295,Mumford,GH,80.96,light rain,5.2618,-0.759,Spanish Villa
297,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
300,Nueva Loja,EC,87.82,scattered clouds,0.0847,-76.8828,Limoncocha Great Hotel
304,Pital,CO,82.15,overcast clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
306,Viedma,AR,81.93,overcast clouds,-40.8135,-62.9967,Hotel Cristal
308,Mazatlan,MX,79.92,scattered clouds,23.2167,-106.4167,Hotel Playamar
310,Bandrele,YT,80.35,clear sky,-12.9067,45.1914,Les Baobabs
315,Contamana,PE,88.75,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
321,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
322,Mendoza,AR,83.73,few clouds,-32.8908,-68.8272,Hotel Mendoza
323,Bengkulu,ID,75.45,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
326,Vallenar,CL,84.58,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
328,Honiara,SB,77.45,overcast clouds,-9.4333,159.95,Heritage Park Hotel
330,George Town,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
331,Lahaina,US,77.81,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
332,Balaipungut,ID,79.21,broken clouds,1.05,101.2833,
335,Weatherford,US,77.32,broken clouds,32.7593,-97.7972,"Candlewood Suites Weatherford, an IHG Hotel"
339,Salinopolis,BR,82.06,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
341,Boyolangu,ID,77.04,overcast clouds,-8.1181,111.8935,Yos ega cv
346,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
348,Araouane,ML,79.07,overcast clouds,18.9048,-3.5265,
349,Mormugao,IN,78.06,few clouds,15.4,73.8,Coconut Creek Resort
351,Vanimo,PG,76.86,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
352,Oriximina,BR,88.38,light rain,-1.7656,-55.8661,Pousada Tia Amélia
361,Ugoofaaru,MV,81.0,light rain,5.6667,73.0,Ungoofaaru Inn
362,Ewa Beach,US,77.02,clear sky,21.3156,-158.0072,Uncle Junior Robert
363,Santo Augusto,BR,87.26,overcast clouds,-27.8508,-53.7772,Hotel Marco Polo
364,Padang,ID,77.59,moderate rain,-0.9492,100.3543,Mercure Padang
365,Anloga,GH,79.02,broken clouds,5.7947,0.8973,Pin Drop Hotel
368,Acarau,BR,85.71,scattered clouds,-2.8856,-40.12,castelo pizzaria
373,Sulangan,PH,80.02,overcast clouds,11.1373,123.7228,Maia's Beach Resort
378,Thinadhoo,MV,80.98,overcast clouds,0.5333,72.9333,
